datetime,data,type,unit,network,region
2018-01-31 18:00:00,1295.0,coal_black,MW,wem,WEM
2018-01-31 18:30:00,1289.0,coal_black,MW,wem,WEM
2018-01-31 19:00:00,1293.0,coal_black,MW,wem,WEM
2018-01-31 19:30:00,1289.0,coal_black,MW,wem,WEM
2018-01-31 20:00:00,1292.0,coal_black,MW,wem,WEM
2018-01-31 20:30:00,1296.0,coal_black,MW,wem,WEM
2018-01-31 21:00:00,1284.0,coal_black,MW,wem,WEM
2018-01-31 21:30:00,1194.0,coal_black,MW,wem,WEM
2018-01-31 22:00:00,1036.0,coal_black,MW,wem,WEM
2018-01-31 22:30:00,1023.0,coal_black,MW,wem,WEM
2018-01-31 23:00:00,954.3,coal_black,MW,wem,WEM
2018-01-31 23:30:00,898.3,coal_black,MW,wem,WEM
2018-01-01 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 06:30:00,1.2,solar_utility,MW,wem,WEM
2018-01-01 07:00:00,2.4,solar_utility,MW,wem,WEM
2018-01-01 07:30:00,3.8,solar_utility,MW,wem,WEM
2018-01-01 08:00:00,5.2,solar_utility,MW,wem,WEM
2018-01-01 08:30:00,6.6,solar_utility,MW,wem,WEM
2018-01-01 09:00:00,7.6,solar_utility,MW,wem,WEM
2018-01-01 09:30:00,8.4,solar_utility,MW,wem,WEM
2018-01-01 10:00:00,9.2,solar_utility,MW,wem,WEM
2018-01-01 10:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-01 11:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-01 11:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-01 12:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-01 12:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-01 13:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-01 13:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-01 14:00:00,9.2,solar_utility,MW,wem,WEM
2018-01-01 14:30:00,8.199,solar_utility,MW,wem,WEM
2018-01-01 15:00:00,7.2,solar_utility,MW,wem,WEM
2018-01-01 15:30:00,6.4,solar_utility,MW,wem,WEM
2018-01-01 16:00:00,4.8,solar_utility,MW,wem,WEM
2018-01-01 16:30:00,3.4,solar_utility,MW,wem,WEM
2018-01-01 17:00:00,1.8,solar_utility,MW,wem,WEM
2018-01-01 17:30:00,0.6,solar_utility,MW,wem,WEM
2018-01-01 18:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 18:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 19:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 19:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 20:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 20:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 21:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 21:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 22:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 22:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 23:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-01 23:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 06:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-02 07:00:00,2.4,solar_utility,MW,wem,WEM
2018-01-02 07:30:00,3.8,solar_utility,MW,wem,WEM
2018-01-02 08:00:00,5.2,solar_utility,MW,wem,WEM
2018-01-02 08:30:00,6.4,solar_utility,MW,wem,WEM
2018-01-02 09:00:00,7.2,solar_utility,MW,wem,WEM
2018-01-02 09:30:00,8.2,solar_utility,MW,wem,WEM
2018-01-02 10:00:00,8.8,solar_utility,MW,wem,WEM
2018-01-02 10:30:00,9.2,solar_utility,MW,wem,WEM
2018-01-02 11:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-02 11:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-02 12:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-02 12:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-02 13:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-02 13:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-02 14:00:00,8.8,solar_utility,MW,wem,WEM
2018-01-02 14:30:00,8.2,solar_utility,MW,wem,WEM
2018-01-02 15:00:00,7.4,solar_utility,MW,wem,WEM
2018-01-02 15:30:00,6.0,solar_utility,MW,wem,WEM
2018-01-02 16:00:00,4.6,solar_utility,MW,wem,WEM
2018-01-02 16:30:00,3.2,solar_utility,MW,wem,WEM
2018-01-02 17:00:00,1.8,solar_utility,MW,wem,WEM
2018-01-02 17:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-02 18:00:00,0.4,solar_utility,MW,wem,WEM
2018-01-02 18:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 19:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 19:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 20:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 20:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 21:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 21:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 22:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 22:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 23:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-02 23:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 06:00:00,0.4,solar_utility,MW,wem,WEM
2018-01-03 06:30:00,0.8,solar_utility,MW,wem,WEM
2018-01-03 07:00:00,2.4,solar_utility,MW,wem,WEM
2018-01-03 07:30:00,3.8,solar_utility,MW,wem,WEM
2018-01-03 08:00:00,5.2,solar_utility,MW,wem,WEM
2018-01-03 08:30:00,6.2,solar_utility,MW,wem,WEM
2018-01-03 09:00:00,7.6,solar_utility,MW,wem,WEM
2018-01-03 09:30:00,8.2,solar_utility,MW,wem,WEM
2018-01-03 10:00:00,9.0,solar_utility,MW,wem,WEM
2018-01-03 10:30:00,9.4,solar_utility,MW,wem,WEM
2018-01-03 11:00:00,9.4,solar_utility,MW,wem,WEM
2018-01-03 11:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-03 12:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-03 12:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-03 13:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-03 13:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-03 14:00:00,9.0,solar_utility,MW,wem,WEM
2018-01-03 14:30:00,8.4,solar_utility,MW,wem,WEM
2018-01-03 15:00:00,7.2,solar_utility,MW,wem,WEM
2018-01-03 15:30:00,6.0,solar_utility,MW,wem,WEM
2018-01-03 16:00:00,4.8,solar_utility,MW,wem,WEM
2018-01-03 16:30:00,3.4,solar_utility,MW,wem,WEM
2018-01-03 17:00:00,1.8,solar_utility,MW,wem,WEM
2018-01-03 17:30:00,0.6,solar_utility,MW,wem,WEM
2018-01-03 18:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 18:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 19:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 19:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 20:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 20:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 21:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 21:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 22:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 22:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 23:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-03 23:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 06:30:00,1.2,solar_utility,MW,wem,WEM
2018-01-04 07:00:00,2.4,solar_utility,MW,wem,WEM
2018-01-04 07:30:00,4.0,solar_utility,MW,wem,WEM
2018-01-04 08:00:00,5.2,solar_utility,MW,wem,WEM
2018-01-04 08:30:00,6.6,solar_utility,MW,wem,WEM
2018-01-04 09:00:00,7.6,solar_utility,MW,wem,WEM
2018-01-04 09:30:00,8.4,solar_utility,MW,wem,WEM
2018-01-04 10:00:00,9.0,solar_utility,MW,wem,WEM
2018-01-04 10:30:00,9.4,solar_utility,MW,wem,WEM
2018-01-04 11:00:00,9.4,solar_utility,MW,wem,WEM
2018-01-04 11:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-04 12:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-04 12:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-04 13:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-04 13:30:00,9.4,solar_utility,MW,wem,WEM
2018-01-04 14:00:00,9.0,solar_utility,MW,wem,WEM
2018-01-04 14:30:00,8.2,solar_utility,MW,wem,WEM
2018-01-04 15:00:00,7.2,solar_utility,MW,wem,WEM
2018-01-04 15:30:00,6.2,solar_utility,MW,wem,WEM
2018-01-04 16:00:00,4.8,solar_utility,MW,wem,WEM
2018-01-04 16:30:00,3.4,solar_utility,MW,wem,WEM
2018-01-04 17:00:00,2.0,solar_utility,MW,wem,WEM
2018-01-04 17:30:00,0.6,solar_utility,MW,wem,WEM
2018-01-04 18:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 18:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 19:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 19:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 20:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 20:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 21:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 21:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 22:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 22:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 23:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-04 23:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-05 06:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-05 07:00:00,3.2,solar_utility,MW,wem,WEM
2018-01-05 07:30:00,4.0,solar_utility,MW,wem,WEM
2018-01-05 08:00:00,5.0,solar_utility,MW,wem,WEM
2018-01-05 08:30:00,6.6,solar_utility,MW,wem,WEM
2018-01-05 09:00:00,7.4,solar_utility,MW,wem,WEM
2018-01-05 09:30:00,8.4,solar_utility,MW,wem,WEM
2018-01-05 10:00:00,9.4,solar_utility,MW,wem,WEM
2018-01-05 10:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-05 11:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-05 11:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-05 12:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-05 12:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-05 13:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-05 13:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-05 14:00:00,9.2,solar_utility,MW,wem,WEM
2018-01-05 14:30:00,8.8,solar_utility,MW,wem,WEM
2018-01-05 15:00:00,7.6,solar_utility,MW,wem,WEM
2018-01-05 15:30:00,6.6,solar_utility,MW,wem,WEM
2018-01-05 16:00:00,4.8,solar_utility,MW,wem,WEM
2018-01-05 16:30:00,3.4,solar_utility,MW,wem,WEM
2018-01-05 17:00:00,2.0,solar_utility,MW,wem,WEM
2018-01-05 17:30:00,0.6,solar_utility,MW,wem,WEM
2018-01-05 18:00:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 18:30:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 19:00:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 19:30:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 20:00:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 20:30:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 21:00:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 21:30:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 22:00:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 22:30:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 23:00:00,0.2,solar_utility,MW,wem,WEM
2018-01-05 23:30:00,0.2,solar_utility,MW,wem,WEM
2018-01-06 00:00:00,0.2,solar_utility,MW,wem,WEM
2018-01-06 00:30:00,0.2,solar_utility,MW,wem,WEM
2018-01-06 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 06:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-06 07:00:00,2.4,solar_utility,MW,wem,WEM
2018-01-06 07:30:00,4.0,solar_utility,MW,wem,WEM
2018-01-06 08:00:00,5.4,solar_utility,MW,wem,WEM
2018-01-06 08:30:00,6.8,solar_utility,MW,wem,WEM
2018-01-06 09:00:00,7.6,solar_utility,MW,wem,WEM
2018-01-06 09:30:00,8.6,solar_utility,MW,wem,WEM
2018-01-06 10:00:00,9.4,solar_utility,MW,wem,WEM
2018-01-06 10:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-06 11:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-06 11:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-06 12:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-06 12:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-06 13:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-06 13:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-06 14:00:00,9.2,solar_utility,MW,wem,WEM
2018-01-06 14:30:00,8.2,solar_utility,MW,wem,WEM
2018-01-06 15:00:00,7.2,solar_utility,MW,wem,WEM
2018-01-06 15:30:00,6.2,solar_utility,MW,wem,WEM
2018-01-06 16:00:00,4.8,solar_utility,MW,wem,WEM
2018-01-06 16:30:00,3.4,solar_utility,MW,wem,WEM
2018-01-06 17:00:00,2.0,solar_utility,MW,wem,WEM
2018-01-06 17:30:00,0.8,solar_utility,MW,wem,WEM
2018-01-06 18:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 18:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 19:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 19:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 20:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 20:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 21:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 21:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 22:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 22:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 23:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-06 23:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 06:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-07 07:00:00,2.4,solar_utility,MW,wem,WEM
2018-01-07 07:30:00,3.8,solar_utility,MW,wem,WEM
2018-01-07 08:00:00,5.2,solar_utility,MW,wem,WEM
2018-01-07 08:30:00,6.6,solar_utility,MW,wem,WEM
2018-01-07 09:00:00,7.4,solar_utility,MW,wem,WEM
2018-01-07 09:30:00,8.6,solar_utility,MW,wem,WEM
2018-01-07 10:00:00,9.0,solar_utility,MW,wem,WEM
2018-01-07 10:30:00,9.4,solar_utility,MW,wem,WEM
2018-01-07 11:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-07 11:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-07 12:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-07 12:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-07 13:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-07 13:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-07 14:00:00,9.4,solar_utility,MW,wem,WEM
2018-01-07 14:30:00,8.6,solar_utility,MW,wem,WEM
2018-01-07 15:00:00,7.4,solar_utility,MW,wem,WEM
2018-01-07 15:30:00,6.2,solar_utility,MW,wem,WEM
2018-01-07 16:00:00,4.8,solar_utility,MW,wem,WEM
2018-01-07 16:30:00,3.4,solar_utility,MW,wem,WEM
2018-01-07 17:00:00,2.0,solar_utility,MW,wem,WEM
2018-01-07 17:30:00,0.8,solar_utility,MW,wem,WEM
2018-01-07 18:00:00,0.4,solar_utility,MW,wem,WEM
2018-01-07 18:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 19:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 19:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 20:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 20:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 21:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 21:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 22:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 22:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 23:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-07 23:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 06:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-08 07:00:00,2.2,solar_utility,MW,wem,WEM
2018-01-08 07:30:00,3.6,solar_utility,MW,wem,WEM
2018-01-08 08:00:00,5.0,solar_utility,MW,wem,WEM
2018-01-08 08:30:00,6.4,solar_utility,MW,wem,WEM
2018-01-08 09:00:00,7.2,solar_utility,MW,wem,WEM
2018-01-08 09:30:00,8.4,solar_utility,MW,wem,WEM
2018-01-08 10:00:00,9.0,solar_utility,MW,wem,WEM
2018-01-08 10:30:00,9.4,solar_utility,MW,wem,WEM
2018-01-08 11:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-08 11:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-08 12:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-08 12:30:00,9.8,solar_utility,MW,wem,WEM
2018-01-08 13:00:00,9.8,solar_utility,MW,wem,WEM
2018-01-08 13:30:00,9.2,solar_utility,MW,wem,WEM
2018-01-08 14:00:00,8.8,solar_utility,MW,wem,WEM
2018-01-08 14:30:00,7.8,solar_utility,MW,wem,WEM
2018-01-08 15:00:00,7.0,solar_utility,MW,wem,WEM
2018-01-08 15:30:00,5.8,solar_utility,MW,wem,WEM
2018-01-08 16:00:00,4.6,solar_utility,MW,wem,WEM
2018-01-08 16:30:00,3.2,solar_utility,MW,wem,WEM
2018-01-08 17:00:00,1.8,solar_utility,MW,wem,WEM
2018-01-08 17:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-08 18:00:00,0.4,solar_utility,MW,wem,WEM
2018-01-08 18:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 19:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 19:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 20:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 20:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 21:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 21:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 22:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 22:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 23:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-08 23:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 00:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 00:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 01:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 01:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 02:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 02:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 03:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 03:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 04:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 04:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 05:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 05:30:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 06:00:00,0.0,solar_utility,MW,wem,WEM
2018-01-09 06:30:00,1.0,solar_utility,MW,wem,WEM
2018-01-09 07:00:00,2.2,solar_utility,MW,wem,WEM
2018-01-09 07:30:00,3.6,solar_utility,MW,wem,WEM
2018-01-09 08:00:00,5.0,solar_utility,MW,wem,WEM
2018-01-09 08:30:00,6.2,solar_utility,MW,wem,WEM
2018-01-09 09:00:00,7.0,solar_utility,MW,wem,WEM
2018-01-09 09:30:00,8.0,solar_utility,MW,wem,WEM
2018-01-09 10:00:00,8.4,solar_utility,MW,wem,WEM
2018-01-09 10:30:00,9.2,solar_utility,MW,wem,WEM
2018-01-09 11:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-09 11:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-09 12:00:00,9.6,solar_utility,MW,wem,WEM
2018-01-09 12:30:00,9.6,solar_utility,MW,wem,WEM
2018-01-09 13:00:00,9.6,solar_utility,MW,wem,WEM
